#Date/Time of Update: 2018-12-10 01:15:00 GMT,#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Team ID,#Team Abbr.,#Team City,#Team Name,#Injury
,14435,Anderson,Joey,49,RW,7,NJD,New Jersey,Devils,broken ankle (Out)
,5505,Armia,Joel,40,RW,14,MTL,Montreal,Canadiens,right knee (Out)
,5538,Arvidsson,Viktor,33,LW,18,NSH,Nashville,Predators,broken thumb (Out)
,4609,Backlund,Mikael,11,C,23,CGY,Calgary,Flames,upper body (Questionable)
,4998,Baertschi,Sven,47,LW,21,VAN,Vancouver,Canucks,concussion (Out)
,5205,Barberio,Mark,44,D,22,COL,Colorado,Avalanche,upper body (Out)
,78,Bergeron,Patrice,37,C,11,BOS,Boston,Bruins,rib (Out)
,10178,Bertuzzi,Tyler,59,LW,16,DET,Detroit,Red Wings,suspended (Out)
,5201,Bjugstad,Nick,27,C,4,FLO,Florida,Panthers,upper body (Questionable)
,5067,Borowiecki,Mark,74,D,13,OTT,Ottawa,Senators,upper-body (Out)
,11807,Brodzinski,Jonny,17,C,28,LAK,Los Angeles,Kings,shoulder (Out)
,10075,Buchnevich,Pavel,89,LW,9,NYR,New York,Rangers,broken thumb (Out)
,3874,Byfuglien,Dustin,33,D,2,WPJ,Winnipeg,Jets,concussion (Probable)
,11308,Caggiula,Drake,91,LW,24,EDM,Edmonton,Oilers,hand (Out)
,5271,Campbell,Jack,36,G,28,LAK,Los Angeles,Kings,knee (Out)
,5252,Carrick,Connor,5,D,27,DAL,Dallas,Stars,lower body (Out)
,218,Chara,Zdeno,33,D,11,BOS,Boston,Bruins,left mcl (Out)
,4154,Comeau,Blake,15,LW,27,DAL,Dallas,Stars,the birth of his child (Probable)
,5555,Copp,Andrew,9,C,2,WPJ,Winnipeg,Jets,concussion (Out)
,4995,Couturier,Sean,14,C,6,PHI,Philadelphia,Flyers,lower body (Questionable)
,257,Cullen,Matt,7,C,10,PIT,Pittsburgh,Penguins,lower body (Out)
,701,Daley,Trevor,83,D,16,DET,Detroit,Red Wings,lower body (Questionable)
,5498,Davidson,Brandon,22,D,20,CHI,Chicago,Blackhawks,right knee surgery (Out)
,5609,DeBrusk,Jake,74,LW,11,BOS,Boston,Bruins,illness (Out)
,5203,DeKeyser,Danny,65,D,16,DET,Detroit,Red Wings,hand (Out)
,4699,Demers,Jason,55,D,30,ARI,Arizona,Coyotes,knee (Out)
,4663,Duchene,Matt,95,C,13,OTT,Ottawa,Senators,lower body (Doubtful)
,5441,Duclair,Anthony,91,LW,19,CBJ,Columbus,Blue Jackets,unspecified (Questionable)
,10069,Dvorak,Christian,18,C,30,ARI,Arizona,Coyotes,pectoral (Out)
,3733,Eaves,Patrick,18,RW,29,ANA,Anaheim,Ducks,fractured rib (Out)
,4305,Elliott,Brian,37,G,6,PHI,Philadelphia,Flyers,groin (Out)
,11673,Erne,Adam,73,RW,1,TBL,Tampa Bay,Lightning,illness (Questionable)
,5434,Fabbri,Robby,15,C,17,STL,St. Louis,Blues,shoulder (Out)
,5478,Ferland,Micheal,79,LW,3,CAR,Carolina,Hurricanes,concussion (Out)
,5210,Forsberg,Filip,9,C,18,NSH,Nashville,Predators,hand (Out)
,10072,Forsling,Gustav,42,D,20,CHI,Chicago,Blackhawks,shoulder (Questionable)
,4800,Fowler,Cam,4,D,29,ANA,Anaheim,Ducks,complex right facial fracture to his jaw bone (Out)
,4507,Frolik,Michael,67,RW,23,CGY,Calgary,Flames,lower body (Out)
,736,Gaborik,Marian,12,LW,13,OTT,Ottawa,Senators,back (Out)
,4688,Grabner,Michael,40,RW,30,ARI,Arizona,Coyotes,left eye (Out)
,4729,Gunnarsson,Carl,4,D,17,STL,St. Louis,Blues,upper body (Out)
,5038,Hagelin,Carl,62,LW,28,LAK,Los Angeles,Kings,mcl sprain in his knee (Out)
,4282,Hanzal,Martin,11,C,27,DAL,Dallas,Stars,spinal fusion back surgery (Probable)
,5301,Haula,Erik,56,LW,142,VGK,Vegas,Golden Knights,right knee (Out)
,4404,Helm,Darren,43,C,16,DET,Detroit,Red Wings,substantial shoulder (Out)
,5841,Hinostroza,Vince,13,C,30,ARI,Arizona,Coyotes,lower body (Questionable)
,4906,Holzer,Korbinian,5,D,29,ANA,Anaheim,Ducks,wrist (Out)
,4523,Hornqvist,Patric,72,RW,10,PIT,Pittsburgh,Penguins,unspecified (Questionable)
,4331,Hunwick,Matt,,D,15,BUF,Buffalo,Sabres,neck (Questionable)
,5224,Hutton,Carter,40,G,15,BUF,Buffalo,Sabres,upper body (Doubtful)
,5573,Johns,Stephen,28,D,27,DAL,Dallas,Stars,post traumatic headaches (Out)
,5621,Juulsen,Noah,58,D,14,MTL,Montreal,Canadiens,facial fracture (Probable)
,5484,Klingberg,John,3,D,27,DAL,Dallas,Stars,hand (Out)
,5340,Knight,Corban,10,C,6,PHI,Philadelphia,Flyers,broken collarbone (Out)
,3763,Koivu,Mikko,9,C,25,MIN,Minnesota,Wild,knee (Questionable)
,334,Kovalchuk,Ilya,17,RW,28,LAK,Los Angeles,Kings,ankle bursectomy procedure (Out)
,5168,Kuemper,Darcy,35,G,30,ARI,Arizona,Coyotes,lower body (Out)
,5907,Kuhnhackl,Tom,14,RW,8,NYI,New York,Islanders,unspecified (Questionable)
,4706,Kulikov,Dmitry,5,D,2,WPJ,Winnipeg,Jets,upper body (Probable)
,15184,Laberge,Pascal,,C,6,PHI,Philadelphia,Flyers,hip (Out)
,3658,Ladd,Andrew,16,LW,8,NYI,New York,Islanders,right leg (Out)
,15160,Lajoie,Maxime,58,D,13,OTT,Ottawa,Senators,unspecified (Questionable)
,4867,Lehner,Robin,40,G,8,NYI,New York,Islanders,unspecified (Questionable)
,4597,Lewis,Trevor,22,C,28,LAK,Los Angeles,Kings,fractured foot (Out)
,13954,Lomberg,Ryan,56,LW,23,CGY,Calgary,Flames,suspended (Out)
,879,MacKenzie,Derek,17,C,4,FLO,Florida,Panthers,shoulder (Out)
,5697,Malgin,Denis,62,C,4,FLO,Florida,Panthers,upper-body (Out)
,5413,Mantha,Anthony,39,RW,16,DET,Detroit,Red Wings,broken hand (Out)
,5362,McCabe,Jake,19,D,15,BUF,Buffalo,Sabres,upper body (Out)
,4310,McElhinney,Curtis,35,G,3,CAR,Carolina,Hurricanes,unspecified (Questionable)
,4564,McGinn,Jamie,88,LW,4,FLO,Florida,Panthers,back surgery (Out)
,4342,McLeod,Cody,8,LW,9,NYR,New York,Rangers,fractured hand (Out)
,4698,McQuaid,Adam,54,D,9,NYR,New York,Rangers,lower body (Questionable)
,4240,Methot,Marc,33,D,27,DAL,Dallas,Stars,lower body (Out)
,5298,Miller,Kevan,86,D,11,BOS,Boston,Bruins,cartilage damage to his larynx (Out)
,5930,Morrissey,Joshua,44,D,2,WPJ,Winnipeg,Jets,lower body (Out)
,5132,Morrow,Joe,70,D,2,WPJ,Winnipeg,Jets,lower body (Out)
,5293,Murphy,Connor,5,D,20,CHI,Chicago,Blackhawks,back (Out)
,5894,Murray,Matthew,30,G,10,PIT,Pittsburgh,Penguins,lower-body (Out)
,5136,Namestnikov,Vladislav,90,C,9,NYR,New York,Rangers,concussion (Questionable)
,9050,Nelson,Casey,8,D,15,BUF,Buffalo,Sabres,upper body (Out)
,479,Orpik,Brooks,44,D,5,WSH,Washington,Capitals,right knee (Out)
,4547,Oshie,T.J.,77,RW,5,WSH,Washington,Capitals,concussion (Out)
,5207,Pageau,Jean-Gabriel,44,C,13,OTT,Ottawa,Senators,severe achilles (Out)
,3626,Perry,Corey,10,RW,29,ANA,Anaheim,Ducks,torn meniscus (Out)
,4548,Pietrangelo,Alex,27,D,17,STL,St. Louis,Blues,hand (Out)
,855,Pominville,Jason,29,RW,15,BUF,Buffalo,Sabres,upper body (Probable)
,5296,Raanta,Antti,32,G,30,ARI,Arizona,Coyotes,lower body (Out)
,5144,Rakell,Rickard,67,RW,29,ANA,Anaheim,Ducks,lower body (Questionable)
,5482,Rieder,Tobias,22,C,24,EDM,Edmonton,Oilers,upper body (Out)
,4270,Ryan,Bobby,9,RW,13,OTT,Ottawa,Senators,upper body (Questionable)
,9078,Santini,Steven,16,D,7,NJD,New Jersey,Devils,broken jaw (Out)
,4911,Scandella,Marco,6,D,15,BUF,Buffalo,Sabres,upper body (Questionable)
,5439,Scherbak,Nikita,21,RW,28,LAK,Los Angeles,Kings,lower body (Questionable)
,5118,Schultz,Justin,4,D,10,PIT,Pittsburgh,Penguins,left lower-leg fracture (Out)
,5088,Schwartz,Jaden,17,LW,17,STL,St. Louis,Blues,upper body (Out)
,4157,Sekera,Andrej,2,D,24,EDM,Edmonton,Oilers,torn achilles tendon (Out)
,5732,Simon,Dominik,12,C,10,PIT,Pittsburgh,Penguins,lower body (Questionable)
,5032,Smith,Brendan,42,D,9,NYR,New York,Rangers,upper body (Probable)
,4029,Staal,Jordan,11,C,3,CAR,Carolina,Hurricanes,concussion (Out)
,4019,Stastny,Paul,26,C,142,VGK,Vegas,Golden Knights,lower body (Out)
,3713,Steen,Alexander,20,LW,17,STL,St. Louis,Blues,upper body (Questionable)
,15168,Stevens,John,58,C,8,NYI,New York,Islanders,unspecified (Out)
,5081,Stone,Michael,26,D,23,CGY,Calgary,Flames,blood clot in his arm (Out)
,4311,Stralman,Anton,6,D,1,TBL,Tampa Bay,Lightning,upper body (Out)
,4671,Subban,P.K.,76,D,18,NSH,Nashville,Predators,upper body (Out)
,4490,Sutter,Brandon,20,C,21,VAN,Vancouver,Canucks,separated shoulder (Out)
,5135,Tarasenko,Vladimir,91,RW,17,STL,St. Louis,Blues,left arm (Questionable)
,15181,Timmins,Conor,18,D,22,COL,Colorado,Avalanche,concussion (Out)
,5342,Trocheck,Vincent,21,C,4,FLO,Florida,Panthers,fractured right ankle (Out)
,4420,Turris,Kyle,8,C,18,NSH,Nashville,Predators,upper body (Out)
,13633,Vaakanainen,Urho,58,D,11,BOS,Boston,Bruins,concussion (Out)
,13631,Valimaki,Juuso,8,D,23,CGY,Calgary,Flames,lower body (Out)
,5420,Vasilevskiy,Andrei,88,G,1,TBL,Tampa Bay,Lightning,left foot fracture (Out)
,5225,Wilson,Tom,43,RW,5,WSH,Washington,Capitals,concussion (Questionable)
,5492,Wilson,Scott,20,C,15,BUF,Buffalo,Sabres,fractured ankle (Out)
,4927,Zuccarello,Mats,36,LW,9,NYR,New York,Rangers,groin (Questionable)
,12249,Zykov,Valentin,73,LW,24,EDM,Edmonton,Oilers,visa issues (Probable)
